AP	Freq
54897199232	4747
54896150656	4619
54897199233	4611
54898247808	4393
54896150657	4222
54898248832	4195
69928537216	4153
54897200256	4130
53822408832	4104
53823457408	3954
54897199234	3858
54896151680	3851
54897199104	3826
54898247680	3822
53824505984	3816
54897199235	3747
54898247809	3628
54899296384	3568
54899296256	3554
54900344832	3541
54896150658	3466
53822408833	3407
54761932800	3293
54900344960	3280
53823457409	3245
54901393408	3198
54896150659	3189
54899297408	3106
53826603008	3039
54899296385	3017
53688190976	2968
54898248833	2966
54901393536	2934
54896151681	2925
54897200257	2909
53824505985	2888
54896150528	2872
53825554432	2863
69930633216	2856
54898247810	2848
54902441984	2828
53824505856	2797
54900344961	2782
69931682944	2760
54900345984	2755
54898247681	2743
54897199236	2736
54897200128	2705
54902442112	2701
54762981376	2681
53827651584	2681
54901394560	2622
62278126720	2617
54898248704	2556
54897199105	2538
53689239552	2534
69932731520	2488
53828700160	2487
54897199237	2471
54899297280	2462
54899296257	2452
54901393537	2420
53822408834	2418
69797465216	2417
69932730496	2392
69930634368	2391
54764029952	2374
69929600000	2373
54900344833	2370
54898247811	2367
54903490688	2364
69931681920	2343
53690288128	2308
69931681792	2304
53823457410	2301
69796415488	2289
54897200258	2263
54899296386	2234
54900345856	2232
54902442113	2223
69929585792	2206
69794319488	2185
53825554433	2182
54765078656	2180
53826603009	2176
54902443136	2174
54896151552	2163
54903490560	2149
62279175296	2139
54901393409	2137
54900344962	2132
69798513792	2124
69933779072	2116
54898248834	2085
69933780096	2056
53824505857	2051
69934828672	2045
53823457280	2030
54904539264	2027
69795367936	2023
54899295232	2022
54896150660	2022
69929592832	2009
53688190977	2008
54898246656	2007
54900343808	2000
69800610944	1996
53827651585	1988
69928537217	1986
54766127232	1979
69797464064	1978
54897199238	1976
54761932801	1960
62412344448	1959
53829748736	1940
54899297409	1938
69799562368	1937
69932730368	1930
54901394432	1905
53825554560	1896
54898247812	1892
54764030080	1884
54901393538	1879
69933778944	1873
70871207040	1872
54899296387	1869
69930633344	1868
54903490689	1868
62281272448	1864
54900344963	1863
62413393024	1852
54901392384	1848
54902441985	1844
62280223872	1843
53822408835	1829
53827651712	1828
54904539136	1822
53828700161	1819
69934827648	1816
69935876224	1809
63351868544	1804
54903491712	1803
53826603136	1795
69930634240	1791
54898247682	1791
54896151682	1788
70868061312	1787
69931682945	1787
54896150661	1782
54761933824	1776
54897198080	1774
53691336704	1770
54765078528	1768
54902440960	1764
69935877248	1746
54900345985	1731
70870158464	1723
54897199239	1711
53828700288	1709
62282321024	1706
53823457411	1706
69934827520	1703
62281271424	1694
70870157440	1689
69798512640	1679
62280222848	1679
62414441600	1661
53830797312	1660
63352917120	1657
69932730497	1652
54902442114	1644
53692385280	1642
53690287104	1639
69798512768	1627
54899297281	1627
53824505986	1627
54762981377	1620
53689239553	1620
54762982400	1616
69931681921	1612
54764029953	1604
54767175808	1601
70869108736	1598
69931682816	1596
54899296258	1589
53827651713	1589
53689238528	1587
54897200259	1585
53690288129	1584
69795368064	1582
54901393539	1581
54901394561	1579
62278126721	1576
69929585664	1574
54765078657	1569
69935876096	1568
54905587840	1556
69799561344	1553
70868060160	1549
69797465088	1546
69932731392	1542
69801659520	1542
54904540288	1532
69795366912	1529
54898247813	1528
70872255616	1525
69932731521	1511
69797464192	1506
69794319360	1504
54903489536	1502
54900344834	1501
53829748737	1498
69929584640	1496
69796416640	1493
62414440576	1490
53825554434	1489
54897199106	1487
54898248705	1485
69930633217	1482
54904539265	1481
53826603137	1480
69936924800	1477
69796416512	1476
69936925824	1473
53691335680	1472
53693433856	1467
69930634369	1464
62413393025	1455
54899296388	1454
53826603010	1451
53828699136	1440
54898248835	1434
70869109888	1430
53692384256	1425
53828700289	1424
69937973376	1421
69933779073	1420
54905587712	1419
69800609920	1412
69798513664	1412
54901393410	1408
62282320000	1403
53827650560	1401
54900344964	1400
54903490561	1397
63351867392	1396
62412344449	1396
53825553408	1393
63353965696	1380
53829748864	1380
69801658496	1374
70869109760	1373
53831845888	1368
54762981504	1356
53829747712	1353
63352915968	1345
69931681793	1341
54897200129	1336
53694482432	1335
62279174144	1331
54903490690	1328
54900345857	1328
69799561216	1327
53825554561	1325
69802708096	1322
53694481408	1318
53693432832	1311
53826601984	1306
70869124224	1305
54766127104	1303
63355014272	1302
62415489152	1301
70871206016	1295
62280222720	1295
69796415616	1294
53830797313	1291
53827651586	1289
69937974400	1288
70873304192	1285
54902443008	1285
54902442115	1282
70868061184	1280
54896150529	1277
53688190978	1273
62283368576	1272
53824504832	1271
53823457281	1269
70871205888	1262
62412343424	1262
54897199240	1260
54898247683	1258
54906636416	1257
69933779968	1250
69933794304	1246
54904538112	1238
54899297410	1238
63353964672	1237
54902443137	1231
54767175680	1228
54766127233	1227
54898247814	1222
62415490176	1217
54764030976	1217
53691336705	1216
70870157312	1208
53832894464	1205
54905587841	1203
54906636288	1199
54899296389	1187
54764030081	1187
54904539137	1186
61205433472	1182
54905588864	1182
70874352768	1181
54761933825	1178
69800609792	1174
54768224384	1174
69930633345	1173
54900343809	1170
70872254464	1168
54901393540	1168
69801658368	1167
70869108864	1162
53828700162	1162
53827651714	1160
54899295233	1159
54898246657	1157
54762982401	1155
53695529984	1155
